410,7167,332.26,
1243,8409,7166,332.21,
1242,8408,7166,332.25,
1242,8410,7168,332.35,
1241,8408,7167,332.34,
1241,8404,7163,332.13,
1240,8401,7161,332.06,
1239,8398,7159,331.99,
1239,8399,7160,332.05,
1239,8398,7159,331.99,
1239,8402,7163,332.20,
1240,8403,7163,332.17,
1239,8401,7162,332.15,
1238,8401,7163,332.24,
1239,8401,7162,332.15,
1240,8403,7163,332.17,
1240,8405,7165,332.27,
1241,8406,7165,332.23,
1242,8408,7166,332.25,
1242,8411,7169,332.41,
1242,8408,7166,332.25,
1241,8407,7166,332.29,
1240,8406,7166,332.33,
1239,8403,7164,332.26,
1240,8407,7167,332.38,
1240,8403,7163,332.17,
1241,8405,7164,332.18,
1242,8412,7170,332.46,
1241,8406,7165,332.23,
